iter	Passed	Remaining
0	0	78
1	1	81
2	2	78
3	3	77
4	3	74
5	4	74
6	5	73
7	6	75
8	7	78
9	9	81
10	9	80
11	10	79
12	11	79
13	12	79
14	13	79
15	14	77
16	15	76
17	16	75
18	17	74
19	18	72
20	18	71
21	19	69
22	20	67
23	21	66
24	21	65
25	22	64
26	23	63
27	24	61
28	24	60
29	25	58
30	25	57
31	26	56
32	28	57
33	29	56
34	29	55
35	30	54
36	31	53
37	31	52
38	32	50
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	39	41
49	40	40
50	40	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	34
57	46	33
58	47	32
59	47	31
60	48	31
61	49	30
62	50	29
63	51	28
64	52	28
65	52	27
66	53	26
67	54	25
68	55	24
69	56	24
70	57	23
71	58	22
72	58	21
73	59	20
74	60	20
75	60	19
76	61	18
77	62	17
78	63	16
79	64	16
80	65	15
81	66	14
82	66	13
83	67	12
84	68	12
85	69	11
86	70	10
87	72	9
88	73	9
89	73	8
90	74	7
91	75	6
92	76	5
93	77	4
94	78	4
95	79	3
96	79	2
97	80	1
98	81	0
99	81	0
